site,period,metric,start_year,end_year,n_years,mean_sca,slope_per_year,slope_per_decade,ci95_low,ci95_high,ci95_low_per_decade,ci95_high_per_decade,p_value,r2,sen_slope_per_year,sen_slope_per_decade,sen_intercept,sen_ci95_low,sen_ci95_high,sen_ci95_low_per_decade,sen_ci95_high_per_decade
MHD,2002_2022,sca_harmonic,2003,2022,20,0.2677130941414002,0.006716688664082767,0.06716688664082768,0.00025632242048793594,0.013177054907677599,0.0025632242048793594,0.131770549076776,0.04241516300283419,0.20952340472237718,0.006618303450178461,0.06618303450178462,-13.055241074567746,-0.0025260369816102004,0.014459875818600188,-0.025260369816102003,0.14459875818600187
MLO,2002_2022,sca_harmonic,2002,2022,21,0.2055011880672725,0.004726889334302794,0.047268893343027946,-0.000411094930906992,0.009864873599512582,-0.00411094930906992,0.09864873599512582,0.06925913358930787,0.1632823046397487,0.004582889356751233,0.04582889356751233,-9.025120869237881,-0.0017425175431043886,0.008657251115415423,-0.017425175431043886,0.08657251115415424
NWR,2002_2022,sca_harmonic,2002,2022,21,0.2182809796201279,0.003528833943899731,0.035288339438997306,-0.00269872532896403,0.009756393216763491,-0.0269872532896403,0.09756393216763491,0.25023948928377565,0.06892934951389385,0.002261492169835491,0.02261492169835491,-4.342390472152518,-0.0019305091387901638,0.009136374829751277,-0.019305091387901638,0.09136374829751277
SMO,2002_2022,sca_harmonic,2002,2022,21,0.09211445241217245,-0.00045631269679151197,-0.004563126967915119,-0.006151797853880728,0.005239172460297704,-0.06151797853880728,0.05239172460297704,0.8685995042480897,0.0014778018968117923,-0.0025320668894713927,-0.025320668894713926,5.154548424406239,-0.006701262612444361,0.0025329995271076867,-0.06701262612444361,0.025329995271076867
SPO,2002_2022,sca_harmonic,2002,2022,20,0.16627502074556905,0.0036676894668449017,0.03667689466844902,-0.002484990754270586,0.009820369687960389,-0.02484990754270586,0.0982036968796039,0.22645759967487064,0.08015293417360414,0.002046874619635953,0.02046874619635953,-3.9763655279540377,-0.0012671115439233352,0.007474751496829633,-0.012671115439233351,0.07474751496829633
TAP,2002_2022,sca_harmonic,2002,2022,21,0.34871664590771934,0.005356765369798968,0.05356765369798968,-0.006406220103838014,0.01711975084343595,-0.06406220103838015,0.1711975084343595,0.35248587668705184,0.04563313622011134,0.006591950043755092,0.06591950043755092,-12.933744441494937,-0.00697468632945659,0.016627306031689073,-0.0697468632945659,0.16627306031689074
WLG,2002_2022,sca_harmonic,2002,2022,20,0.24187981363488192,0.00043336015147779936,0.004333601514777994,-0.007877182841044357,0.008743903143999957,-0.07877182841044357,0.08743903143999956,0.9139749873588224,0.0006663417604393373,0.0035571112570189425,0.035571112570189425,-6.912746187768051,-0.008606776175925378,0.007601611574612979,-0.08606776175925379,0.07601611574612979
ALT,2002_2022,sca_raw_range,2002,2022,20,0.4478999999999999,-5.7476863126994854e-05,-0.0005747686312699486,-0.0069820297421727,0.00686707601591871,-0.069820297421727,0.06867076015918709,0.9862785720328594,1.689439623386857e-05,-3.3333333333253795e-05,-0.00033333333333253795,0.49783333333317475,-0.009333333333332897,0.006000000000000227,-0.09333333333332897,0.060000000000002274
ASC,2002_2022,sca_raw_range,2002,2022,21,0.15161904761904782,0.003963636363636564,0.03963636363636564,-0.0016003618947063331,0.009527634621979461,-0.01600361894706333,0.09527634621979461,0.15237452542185909,0.10474973520285813,0.003583333333332088,0.03583333333332088,-7.06841666666417,-0.0020041666666666246,0.009514508928572005,-0.020041666666666246,0.09514508928572005
BRW,2002_2022,sca_raw_range,2002,2022,21,0.508238095238096,0.0034701298701298815,0.034701298701298816,-0.0053850949730231586,0.012325354713282922,-0.053850949730231586,0.12325354713282922,0.4222725298072609,0.034196060920686944,0.004833333333334503,0.048333333333345024,-9.191000000002363,-0.008714285714285706,0.01261562500000062,-0.08714285714285705,0.1261562500000062
CGO,2002_2022,sca_raw_range,2002,2022,21,0.21076190476190582,-0.0005259740259737803,-0.005259740259737803,-0.0074972945228411955,0.006445346470893634,-0.07497294522841196,0.06445346470893634,0.8761899747494479,0.001310761587710374,-0.0007083333333337492,-0.007083333333337492,1.5964583333341738,-0.007593611111111033,0.0050000000000005275,-0.07593611111111033,0.050000000000005276
KUM,2002_2022,sca_raw_range,2002,2022,21,0.2689999999999997,0.0035194805194805525,0.03519480519480553,-0.0015999436290831054,0.00863890466804421,-0.015999436290831053,0.08638904668044209,0.16644874129870052,0.09826292145174298,0.002583333333332949,0.02583333333332949,-4.935249999999226,-0.002833333333333831,0.008168750000001062,-0.02833333333333831,0.08168750000001063
MHD,2002_2022,sca_raw_range,2003,2022,20,0.33564999999999934,0.004169172932330807,0.04169172932330807,-0.0015231158747409674,0.009861461739402581,-0.015231158747409674,0.09861461739402581,0.14125529491826075,0.11625231837586547,0.004440476190475658,0.04440476190475658,-8.596958333332264,-0.003000000000001129,0.009757536764705529,-0.03000000000001129,0.0975753676470553
MLO,2002_2022,sca_raw_range,2002,2022,21,0.23952380952381025,0.005170129870130091,0.05170129870130091,-0.0007549160825038896,0.011095175822764071,-0.007549160825038896,0.11095175822764071,0.08355374444770043,0.1493382922752441,0.004790598290598117,0.047905982905981165,-9.402358974358625,-0.001769230769230476,0.009833333333332916,-0.01769230769230476,0.09833333333332916
NWR,2002_2022,sca_raw_range,2002,2022,21,0.2619999999999998,0.0030155844155842658,0.03015584415584266,-0.0022806328401119265,0.008311801671280459,-0.022806328401119264,0.08311801671280458,0.24803863622433758,0.06955031896726538,0.0026000000000001603,0.026000000000001605,-4.968200000000325,-0.001317894736842041,0.009400714285715095,-0.013178947368420409,0.09400714285715095
SMO,2002_2022,sca_raw_range,2002,2022,21,0.11728571428571431,0.0009701298701299385,0.009701298701299385,-0.004490650211117351,0.006430909951377228,-0.04490650211117351,0.06430909951377228,0.7141308036900754,0.007224309642901328,-0.0005921052631577724,-0.005921052631577724,1.2853552631576504,-0.0056666666666661085,0.004500000000000198,-0.056666666666661085,0.04500000000000198
SPO,2002_2022,sca_raw_range,2002,2022,20,0.19789999999999916,0.003911627583327496,0.039116275833274955,-0.0035917603391269317,0.011415015505781924,-0.035917603391269315,0.11415015505781924,0.28784970638383933,0.062478258723611124,0.0028562091503270505,0.028562091503270506,-5.583333333333842,-0.0016000000000000606,0.006833333333333594,-0.016000000000000604,0.06833333333333594
TAP,2002_2022,sca_raw_range,2002,2022,21,0.4125714285714293,0.00693116883116893,0.0693116883116893,-0.006555398485321332,0.020417736147659193,-0.06555398485321332,0.20417736147659193,0.2955447754241758,0.05740255243291548,0.008593749999999957,0.08593749999999957,-16.926812499999915,-0.006780555555554773,0.01840738304093581,-0.06780555555554774,0.1840738304093581
