site,year,n_months,n_quarters,first_month,last_month,usable,sca_raw_range,sca_detrended_range,sca_harmonic
MHD,2003,9,3,4,12,True,0.26599999999999824,0.2558944808920529,0.17725559341338984
MHD,2004,12,4,1,12,True,0.3440000000000012,0.33136810111506776,0.3006377276615116
MHD,2005,9,3,1,9,True,0.23899999999999721,0.21878896178411367,0.11873885189751804
MHD,2006,12,4,1,12,True,0.21800000000000352,0.2053681011150701,0.1668837572126595
MHD,2007,9,4,1,12,True,0.35199999999999676,0.3393681011150633,0.3268045860441782
MHD,2008,12,4,1,12,True,0.2809999999999988,0.2708944808920606,0.2407325595284152
MHD,2009,12,4,1,12,True,0.39399999999999835,0.38642086066904113,0.23451025070297
MHD,2010,12,4,1,12,True,0.392000000000003,0.36926258200713136,0.17381422465226642
MHD,2011,12,4,1,12,True,0.39799999999999613,0.3878944808920437,0.3362604094934576
MHD,2012,12,4,1,12,True,0.3269999999999982,0.31689448089205285,0.27490009677152955
MHD,2013,12,4,1,12,True,0.35199999999999676,0.3368417213380823,0.311648364154517
MHD,2014,12,4,1,12,True,0.3269999999999982,0.31689448089205285,0.2532277606414541
MHD,2015,12,4,1,12,True,0.42600000000000193,0.4133681011150685,0.3722924696802215
MHD,2016,12,4,1,12,True,0.2749999999999986,0.2638944808920556,0.23694514644859999
MHD,2017,12,4,1,12,True,0.32500000000000284,0.3148944808920575,0.2533527465997341
MHD,2018,12,4,1,12,True,0.24200000000000443,0.2344208606690401,0.15725017243041886
MHD,2019,12,4,1,12,True,0.46300000000000097,0.44784172133808653,0.4354531313958992
MHD,2020,12,4,1,12,True,0.4309999999999974,0.42089448089204495,0.39676326449045274
MHD,2021,12,4,1,12,True,0.2560000000000002,0.2458944808920549,0.2222340287950902
MHD,2022,12,4,1,12,True,0.40499999999999403,0.3923681011150606,0.36455674081372125
MID,2015,1,1,12,12,False,0.0,0.0,
MID,2016,12,4,1,12,True,0.3570000000000064,0.3370619894469584,0.31646578321117297
MID,2017,12,4,1,12,True,0.3810000000000002,0.361061989446938,0.2929380737328888
MID,2018,12,4,1,12,True,0.2119999999999962,0.19704649208519953,0.15204257215988806
MID,2019,12,4,1,12,True,0.5499999999999972,0.530061989446935,0.42951525513334265
MID,2020,12,4,1,12,True,0.3919999999999959,0.3720619894469337,0.34237188034496896
MID,2021,12,4,1,12,True,0.30100000000000193,0.27607748680867417,0.23930289982028857
MID,2022,12,4,1,12,True,0.39400000000000546,0.37406198944695745,0.3094963024241013
MLO,1998,12,4,1,12,True,0.25500000000000256,0.24583148151036482,0.21113854710677318
MLO,1999,12,4,1,12,True,0.2710000000000008,0.26183148151035596,0.2510518536265184
MLO,2000,12,4,1,12,True,0.13000000000000256,0.11533037041657224,0.08506868401032584
MLO,2001,5,2,1,5,False,0.02300000000000324,0.030334814791714848,0.03570993090473445
MLO,2002,9,3,4,12,True,0.1980000000000004,0.18699777781242943,0.17579049574396438
MLO,2003,12,4,1,12,True,0.10000000000000142,0.10733481479172013,0.08113223323185192
MLO,2004,12,4,1,12,True,0.1980000000000004,0.1906651852082888,0.1796271072647245
MLO,2005,10,4,1,10,True,0.18299999999999983,0.17199777781242886,0.1635722910483417
MLO,2006,10,4,3,12,True,0.15799999999999415,0.14699777781242318,0.13492965602306767
MLO,2007,12,4,1,12,True,0.2680000000000007,0.25883148151035584,0.23372710210105674
MLO,2008,12,4,1,12,True,0.3990000000000009,0.39249888890621065,0.32398784276816184
MLO,2009,12,4,1,12,True,0.2290000000000063,0.21083148151036113,0.15120594927984454
MLO,2010,12,4,1,12,True,0.2540000000000049,0.24299777781243392,0.2298836216680108
MLO,2011,12,4,1,12,True,0.24199999999999733,0.23099777781242636,0.21826370918877636
MLO,2012,12,4,1,12,True,0.20299999999999585,0.21216851848963358,0.1676598001098115
MLO,2013,12,4,1,12,True,0.29000000000000625,0.2808314815103685,0.24869368982919648
MLO,2014,12,4,1,12,True,0.2049999999999983,0.19583148151035346,0.1840517323290794
MLO,2015,12,4,1,12,True,0.17500000000000426,0.16766518520828555,0.15315464683654353
MLO,2016,12,4,1,12,True,0.22800000000000153,0.21966518520828515,0.1936104474018756
MLO,2017,12,4,1,12,True,0.25800000000000267,0.25066518520829106,0.2051078627234958
MLO,2018,12,4,1,12,True,0.13799999999999812,0.12699777781242716,0.1213205790879241
MLO,2019,12,4,1,12,True,0.45599999999999596,0.4468314815103511,0.39459292091580417
MLO,2020,12,4,1,12,True,0.3290000000000006,0.31799777781242966,0.30726381565280664
MLO,2021,12,4,1,12,True,0.2220000000000013,0.21283148151035647,0.18828474899024047
MLO,2022,12,4,1,12,True,0.29700000000000415,0.2878314815103593,0.25966469721814495
NWR,1998,12,4,1,12,True,0.36299999999999955,0.3553990555848756,0.295008463061117
NWR,1999,12,4,1,12,True,0.355000000000004,0.34739905558487294,0.2592307430093512
NWR,2000,12,4,1,12,True,0.10300000000000153,0.09729929168865681,0.050817423860788406
