COUNTRY,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Czech Republic,230.4945968,230.4945968,227.1392653,222.0596034,224.5079289,229.9996571,234.0977585,242.5759948,232.0473394,235.5010557,225.6631505,225.9334017,228.7446294,229.5290378,229.2876337,225.9806801,224.4953891,224.7045933,220.7755257,212.4630127,198.5805615,183.9117157,166.5428023,156.7318005,138.6974927,132.1165917,128.2494675,124.157387,108.7986636,81.37532249,92.19137763,94.59454533,89.35419344,89.38083554,96.44739463,85.8703031,88.18641469,87.92509569,83.94397498,70.80679311,73.06836319,73.22178902,71.44113713,63.86985101,60.99270595,60.87134799,58.67112154,57.12814756,55.69225671,51.32801924,39.75465171,39.76309606,43.1679411
Estonia,,,,,,,,,0.383295674,0.389753937,0.390064589,0.384472468,0.37887093,0.373274123,0.367681978,0.367681978,0.369357741,0.367681978,0.367681978,0.367681978,0.052582418,0.0474525,0.039757431,0.043605063,0.048734984,0.05129994,0.056430044,0.053865088,0.034627514,0.020520049,0.029497409,0.033345036,0.038245476,0.038474956,0.044887541,0.0474525,0.04232258,0.05129994,0.044887541,0.023085008,0.028214929,0.030780077,0.032062558,0.028214929,0.032062558,0.010260027,0.016672423,0.024367492,0.017955091,0.029882321,0.018916907,0.020648283,0.022538123
Croatia,5.614394727,5.614371458,5.02180235,4.920446841,5.065066661,5.076638338,5.598990098,5.152788959,5.335212594,5.627819482,5.562354436,5.551202708,5.661926818,6.152020226,6.374431623,6.425472164,6.307873025,5.408358625,5.686295312,5.37672971,2.186955783,1.919115379,1.585914159,1.456819221,1.165879835,0.609433098,0.516201724,0.394286644,0.410379133,0.116759357,,,,,,,,,,,,,,,,,,,,,,,
Hungary,39.1696385,37.9134139,35.3300244,35.8617204,34.07184257,31.69035839,31.45197025,31.19706238,54.18187968,53.75884388,53.16873973,52.50080648,51.91769604,48.6014669,44.53471525,41.5523608,38.67875471,38.35175824,37.11784713,32.56595067,17.93328241,17.01845211,13.7581993,11.39346419,11.64485633,12.12066272,12.64408829,13.49294386,12.29817381,11.37192662,11.11782938,9.787599998,9.307226019,9.365500654,7.603038533,6.055706276,6.346497121,6.374519792,5.982683947,5.143829485,5.483318687,5.646255753,5.505680035,5.369756799,5.32024708,5.199075525,4.967396254,4.578153426,4.195003735,3.731474778,3.491850519,3.005731509,2.968320804
Lithuania,,,,,,,,,0.031665157,0.032198692,0.032224356,0.031762375,0.031299616,0.030837247,0.030375264,0.030375264,0.030513704,0.030375264,0.030375264,0.030375264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,,,,,,,,,0.023748867,0.024149019,0.024168267,0.023821781,0.023474712,0.023127936,0.022781448,0.022781448,0.022885278,0.022781448,0.022781448,0.022781448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macedonia, the former Yugoslav Republic of",2.879179828,2.873154993,2.880642632,3.019417941,3.117475505,3.282815285,3.299158185,3.436195132,3.677458295,3.922019984,3.854087462,4.591117941,5.035344883,5.633766605,6.017658508,6.283171396,6.345242829,6.40634978,6.110598621,6.134030827,6.855694967,7.200723078,7.202449787,7.140177467,7.082022082,7.485477083,7.934282677,7.440125858,8.379842987,7.472309391,6.847569185,7.637720286,7.296524974,7.644725207,7.306384142,7.279998166,7.319542348,7.084888557,7.782143294,7.305576247,6.745591509,7.966236964,7.037585313,5.947060537,5.570591874,4.950036597,4.209971578,4.794248774,4.519311415,4.859835325,3.865075389,3.165206192,2.956253114
Poland,3050.387451,3109.041474,3184.887151,3258.415996,3317.387839,3426.714642,3504.933628,3542.154748,3763.557947,3852.924908,3549.155602,2936.25097,3368.431164,3330.298489,3232.578654,3137.248225,3067.857657,3003.217912,2912.248518,2582.028974,2107.412794,1953.030048,1870.92699,1749.097403,1742.267423,1733.945959,1666.314426,1639.448822,1317.263417,1199.982602,1061.452061,1021.647704,977.030912,917.0064915,859.2899651,835.5707043,792.7309127,711.7776579,659.4942504,570.0210825,566.7204557,570.11427,611.0409897,590.3078468,544.3804025,537.4288745,512.9427475,457.2566565,428.0239836,416.8188456,363.0450274,396.3201464,382.6459092
Romania,100.1699091,97.99036372,97.98885479,103.7231697,104.7649875,105.0522782,99.22820714,99.22272701,102.7542548,109.8272177,110.2859247,112.124461,104.8466194,116.9278508,119.3161788,121.4462581,122.0195943,128.6042539,137.1864816,129.3105652,89.15455022,74.49090811,71.80146052,65.37494006,66.96628095,66.3548527,67.75744455,57.74784733,45.44138568,38.75764611,42.7622324,42.17224028,44.82174504,47.63054121,45.51506075,41.92449794,46.32030098,48.38043769,47.84145038,43.88654618,38.6775973,43.98900818,42.07887262,31.11796147,29.75774045,31.16078524,27.94554605,29.63975968,26.53708326,25.95396445,17.01350557,20.07117486,20.07117486
Serbia and Montenegro,35.46447111,35.46447111,34.88986903,36.29447432,37.58951849,39.4294095,39.53880662,40.51884184,42.86259915,45.26104804,44.23117971,52.16293604,56.99660115,62.98185543,67.61257749,70.54252887,71.25223674,71.91408103,68.73183323,68.59294532,76.59840357,65.05172966,66.83958469,62.67121993,57.05038764,65.93724678,40.3120339,42.61589095,44.39175073,33.25954164,42.30361693,42.32731592,44.39326443,46.20377287,46.69453614,39.15960901,41.09967004,40.92023596,43.66409612,39.76048529,40.20824757,42.53816268,39.7741702,41.54278298,32.19126948,39.59699809,39.73276536,38.88728914,36.43963043,37.85132382,39.77553662,37.24034576,36.74186185
