site_code,site_name,country,latitude,longitude,elevation_m,labs,n_observations,year_start,year_end,data_source
OIL,"Oglesby, Illinois",United States,41.28,-88.94,192.6,NOAA,424,2004.7,2005.9,Basu2022_ObsPack
OPW,"Olympic Peninsula, Washington",United States,48.2997,-124.6276,486.0,NOAA,310,1984.8,1990.4,Basu2022_ObsPack
ORL,Orleans,France,47.83,2.5,175.0,LSCE,2156,2000.0,2017.6,Basu2022_ObsPack
OXK,Ochsenkopf,Germany,50.0301,11.8084,1022.0,MPI-BGC; NOAA,3016,2003.1,2019.4,Basu2022_ObsPack
PAL,"Pallas-Sammaltunturi, GAW Station",Finland,67.9733,24.1157,565.0,FMI; NOAA,111998,2002.0,2019.9,Basu2022_ObsPack
PCO,"Pico, Azores",Portugal,38.47,-28.4,2225.0,NOAA,12,2010.6,2011.5,Basu2022_ObsPack
PDI,Pha Din,Vietnam,21.5731,103.5157,1466.0,EMPA,15978,2014.1,2016.9,Basu2022_ObsPack
PDM,Pic Du Midi,France,42.9372,0.1411,2877.0,LSCE,30897,2001.4,2018.0,Basu2022_ObsPack
PFA,"Poker Flat, Alaska",United States,64.9,-148.76,210.0,NOAA,4799,1999.5,2020.1,Basu2022_ObsPack
PIP,off the Pacific coast of Sendai,Japan,37.81,141.35,0.0,TU,2044,2000.1,2010.6,Basu2022_ObsPack
POC,Pacific Ocean,N/A,0.0,-147.1699981689453,0.0,NIWA; NOAA,13761,1987.0,2017.5,Basu2022_ObsPack
PRS,Plateau Rosa Station,Italy,45.93,7.7,3480.0,RSE,67249,2005.0,2017.0,Basu2022_ObsPack
PSA,"Palmer Station, Antarctica",United States,-64.92,-64.0,10.0,NOAA,3520,1983.0,2019.8,Basu2022_ObsPack
PTA,"Point Arena, California",United States,38.9546,-123.7408,17.0,NOAA,995,1999.0,2011.4,Basu2022_ObsPack
PUY,Puy de Dome,France,45.7719,2.9658,1465.0,LSCE,50727,2001.6,2018.1,Basu2022_ObsPack
RBA,"Roof Butte, Arizona",United States,36.4614,-109.0956,2982.0,IPEN,1536,2010.0,2016.4,Basu2022_ObsPack
RPB,Ragged Point,Barbados,13.165,-59.432,15.0,AGAGE; NOAA,161876,1987.9,2020.1,Basu2022_ObsPack
RTA,Rarotonga,Cook Islands,-21.25,-159.83,3.0,NOAA,3527,2000.3,2020.1,Basu2022_ObsPack
RYO,Ryori,Japan,39.03,141.82,260.0,JMA,137326,2000.0,2018.0,Basu2022_ObsPack
S2K,"Safari 2000, Southern Africian Regional Science",South Africa,-24.260000228881836,28.5,-999.0,NOAA,183,2000.6,2000.7,Basu2022_ObsPack
SAN,Santarem,Brazil,-2.85,-54.95,78.0,NOAA; IPEN,3812,2000.9,2015.3,Basu2022_ObsPack
SCA,"Offshore Charleston, South Carolina",United States,32.77,-79.55,0.0,NOAA,3446,2003.6,2020.0,Basu2022_ObsPack
SCS,South China Sea,N/A,12.0,111.0,0.0,NOAA,3268,1991.5,1998.8,Basu2022_ObsPack
SCT,"Beech Island, South Carolina",United States,33.4057,-81.8334,115.2,NOAA,108197,2008.6,2020.1,Basu2022_ObsPack
SDZ,Shangdianzi,Peoples Republic of China,40.65,117.117,293.0,NOAA,592,2009.7,2015.7,Basu2022_ObsPack
SEY,Mahe Island,Seychelles,-4.6824,55.5325,2.0,NOAA,3505,1983.4,2019.9,Basu2022_ObsPack
SGI,"Bird Island, South Georgia",United Kingdom,-54.0,-38.05,30.0,NOAA,143,1989.1,1992.6,Basu2022_ObsPack
SGP,"Southern Great Plains, Oklahoma",United States,36.607,-97.489,314.0,NOAA,9722,1998.2,2020.1,Basu2022_ObsPack
SHM,"Shemya Island, Alaska",United States,52.7112,174.126,23.0,NOAA,3126,1985.7,2020.0,Basu2022_ObsPack
SIO,"La Jolla, California",United States,32.83,-117.27,14.0,NOAA,41,1984.1,1986.7,Basu2022_ObsPack
SIS,Shetland Islands,Scotland,60.089,-1.255,30.0,MPI-BGC; CSIRO,2077,2000.0,2017.7,Basu2022_ObsPack
SMO,Tutuila,American Samoa,-14.2474,-170.5644,42.0,AGAGE; NOAA,173902,1983.3,2020.0,Basu2022_ObsPack
SOD,Sodankyla,Finland,67.3618,26.6382,179.0,FMI,46209,2012.0,2018.0,Basu2022_ObsPack
SPO,"South Pole, Antarctica",United States,-89.98,-24.8,2810.0,NOAA,4940,1983.1,2019.9,Basu2022_ObsPack
SSL,"Schauinsland, Baden-Wuerttemberg",Germany,47.92,7.92,1205.0,UBA,101225,2000.0,2014.0,Basu2022_ObsPack
STM,Ocean Station M,Norway,66.0,2.0,0.0,NOAA,4780,1983.3,2009.9,Basu2022_ObsPack
STR,"Sutro Tower, San Francisco, California",United States,37.7553,-122.4517,254.0,NOAA,6567,2007.8,2020.1,Basu2022_ObsPack
SUM,Summit,Greenland,72.5962,-38.422,3209.54,NOAA,1922,1997.5,2019.6,Basu2022_ObsPack
SUR,Surgut,Russia,61.2,73.2,40.0,NIES,1354,2000.1,2015.9,Basu2022_ObsPack
SYO,"Syowa Station, Antarctica",Japan,-69.0125,39.59,14.0,NOAA,1471,1986.1,2019.1,Basu2022_ObsPack
TAB,Tabatinga,Brazil,-5.95,-70.07,,IPEN,495,2010.0,2012.9,Basu2022_ObsPack
TAC,Tacolneston,United Kingdom,52.5177,1.1386,56.0,NOAA,108,2014.4,2016.0,Basu2022_ObsPack
TAO,"Toronto Atmospheric Observatory, University of Toronto, Ontario",Canada,43.66,-79.4,100.0,EC,16843,2013.8,2016.0,Basu2022_ObsPack
TAP,Tae-ahn Peninsula,Republic of Korea,36.7376,126.1328,16.0,NOAA,3787,1990.9,2020.0,Basu2022_ObsPack
TDA,over Japan between Sendai and Fukuoka,Japan,36.224998474121094,135.92498779296875,-99.99,TU,2690,2000.0,2010.6,Basu2022_ObsPack
TEF,Tefe,Brazil,-3.6,-66.5,,IPEN,400,2013.1,2015.2,Basu2022_ObsPack
TER,Teriberka,Russia,69.2,35.1,40.0,MGO,654,2003.1,2017.0,Basu2022_ObsPack
TGC,"Offshore Corpus Christi, Texas",United States,27.73,-96.86,0.0,NOAA,2777,2003.7,2020.0,Basu2022_ObsPack
THD,"Trinidad Head, California",United States,41.0541,-124.151,107.0,AGAGE; NOAA,180080,2000.0,2020.0,Basu2022_ObsPack
TIK,Hydrometeorological Observatory of Tiksi,Russia,71.5965,128.8887,19.0,MGO; FMI; NOAA,57215,2010.7,2018.7,Basu2022_ObsPack
TLL,El Tololo,Chile,-30.1725,-70.7992,2220.0,EMPA,18255,2013.3,2015.8,Basu2022_ObsPack
